Tappr,"Founded: 2012
 Tappr is a FinTech company developing the next generation payment system technology for sme’s. Founded in a living room by Brett Hales and Kerry Esson, Tappr brings a wealth of tools that online businesses take for granted, in-store. The solution’s main focuses including being payment agnostic, terminal agnostic, data-rich and seamlessly integrates with the Tappr app or other POS providers. Their vision is to enable merchants to accept any form of payment their customers prefer. To date, the team has secured over $5m in funding."
Haystack,"Founded: 2012
 The Haystack team have developed a stylish & smart digital business card solution geared for small, medium and enterprise clients. Haystack cards can be sent to anyone on any device and utilize a learning algorithm to intelligently update contact information over time. The company was founded in 2014 by Ran Heimann, Matan Heimann and Nir Heimann. Haystack cards are currently being used in more than 100,000 companies around the world, including a number of Fortune 500 companies. So far the team has raised $1.34 million in investment."
Adepto,"Founded: 2013
 Adepto gives organisations the power to create and leverage their own marketplace. Through SaaS and consulting services, Adepto helps businesses to find, engage and directly manage their own contingent workforce. Founded by Chris Milligan and Michael Derwin, the Adepto team set out to shift their cost base from fixed to variable, and create true organisational agility. Adepto takes a view that all talent is ultimately contingent – so they focus on helping business manage their external talent as well as enabling internal mobility."
ClipChamp,"Founded: 2013
 Clipchamp offers a unique suite of video tools that runs entirely in the browser, giving users a fast and simple way to collect, record, edit, upload and share videos. Their technology makes compressing and converting videos up to 20 times faster than traditional methods, without impacting visible quality. Founded by Alexander Dreiling, Soeren Balko, Tobias Raub and David Hewitt, Clipchamp has published 3 products that are all gaining international traction."
FunCaptcha,"Founded: 2013
 FunCaptcha is the world’s only managed CAPTCHA service. It uses a patent-pending 3D model approach to create gamified puzzles that leverage gaps in machine vision. Founded by Kevin Gosschalk and Matthew Ford, FunCaptcha determines if a user is human and stops automated abuse with image-based games that are easy to solve. Since their launch in 2013, FunCaptcha has raised $2.21 million and become an integral security solution for the likes of Electronic Arts, Kik, Distil Networks and many others."
Megaport,"Founded: 2013
 Megaport is a start-up turned ASX-listed company that has evolved into a powerhouse within the tech industry. Megaport makes connectivity easy and enables digital transformation and cloud adoption for enterprises. Rapid growth since inception has resulted in over 730 customers, and 165 enabled data centres in 37 cities across 19 countries. Megaport is partnered with the top five global Cloud Service Providers: Amazon Web Services, Alibaba Cloud, Oracle, Microsoft, and Google. Established in 2013, founded by Bevan Slattery, and led by Vincent English."
Outfit.io,"Founded: 2013
 Outfit is a brand automation and marketing production platform that is transforming how businesses and agencies large and small create, collaborate, localise and distribute brand assets. More than 1,200 clients from across 40 countries use Outfit. Founded by Bruce Stronge, the entrepreneur behind NetEngine and Trigger, Outfit has raised $1 million in investment and is expanding to the UK and US. Outfit has been featured in the AFR and Marketing Magazine Australia, and is shortlisted as a finalist in Anthill Magazine’s #Smart100 Startups for 2017."
Advvy,"Founded: 2014
 Advvy is a media technology company leading the digital transformation of workflow in the media and advertising industry. The Advvy platform transforms inefficient manual campaign planning processes into a workflow solution to allow enterprise Media Agency employees to work smarter while giving management real-time visibility into their campaign activity and performance. Founders, Chris Macaulay and Tristan Ozinga, both from the Media, saw a need to move away from the manual, clunky systems and processes. They have raised over $1M to date from VC fund, FutureNow Ventures and are currently raising a $2 million pre-series A round."
Gruntify,"Founded: 2014
 Gruntify is an innovative tasking and data management platform taking mobile, cloud and geospatial technologies by storm. It allows organisations to manage workflows, assign tasks, analyse, map and report collated information through a snap and tap application that reports real-time image and location data. Created by GIS People, Gruntify was developed in 2014 as a solution for Queensland Department of Transport and Main Roads. Today it is utilised by the likes of Microsoft and government entities worldwide. They plan to expand into North Africa and the United States this year."
PetCloud,"Founded: 2014
 PetCloud is a website which connects busy pet owners with local pet services across Australia. They are partnered with RSPCA across most States, and now with Greencross & Petbarn, making them one of Australia’s most trusted and convenient pet care service providers. Founded by Deb Morrison, PetCloud is an online community for pet parents to connect with pet sitters who have been screened and are ready to care for your pet. All reservations include insurance, 24/7 customer support, and daily photo updates of your pet enjoying their own vacation, letting you enjoy yours."
Pixc,"Founded: 2014
 Pixc helps online stores increase their sales with better product content. Founder Holly Cardew knew that professional photos help to highlight products and make e-commerce businesses stand out from competitors, resulting in more ‘add to cart’ actions. Pixc is a platform for all your photo editing needs. They provide a quick, efficient and easy way for their clients to have retail-ready photos within 24 hours. They’ve helped thousands of e-commerce store owners to sell more products and have users in over 30 countries."
Travello,"Founded: 2014
 Travello is a social network for travellers, currently being used in over 170 countries. The platform allows you to find and connect with travellers around you or in a new destination, match travel plans, interact on the Dynamic Travello News Feed and they even have a free WiFi finder. The creation of two avid travellers, Mark Cantoni and Ryan Hanly, Travello was the solution to their personal frustration. From humble beginnings in 2014, Travello has now raised $1.3 million investment and is continuously adding countries to their list. The app can be downloaded on the App store or Google Play."
Wanderlust Tribe,"Founded: 2014
 Wanderlust aims to use smartphone technology to connect people from around the world by creating a user-friendly app that allows people to easily find and connect with other travellers. Keen traveller and founder Shane Williams is creating the app to help facilitate amazing travel experiences. You can meet travellers & locals before you leave for your next trip or find out who’s in the area when you arrive at your destination. Making meeting like-minded people while you travel as easy as pulling out your smartphone."
Reekoh,"Founded: 2015
 By using an integration model, Reekoh reduces the complexity of combining best-of-breed IoT solution components. Reekoh delivers this capability through their Plugin Marketplace and data workflow design tools, providing modules for users to integrate IoT device data with over 100 cloud platforms, tools and services. Hardware makers, application and service developers can utilise plugins in the marketplace to also reach customers who are building IoT solutions on the Reekoh platform. This platform for IoT was founded by Dale Rankine (pictured) and Benj Sicam."
