Camplify,"Founded: 2014
 Camplify is Australia’s leading peer-to-peer RV sharing platform connecting people wanting to hire caravans, motorhomes, campervans, and camper trailers with RV owners in a peer-to-peer sharing environment. Founder Justin Hales and his wife noticed all of the RVs sitting on lawns in his area doing nothing for the majority of the year. Just 10 days later Camplify was launched. Similar to an AirBNB model, Camplify allows aspiring campers who lack the equipment, the ability to go on holidays using other people’s RVs. In June 2015 the team secured $625,000 in funding from investors and February 2017 the team secured a further $1.9 million in funding."
Cover Genius,"Founded: 2014
 Cover Genius is the parent company of RentalCover.com and BrightWrite. It is one of the fastest growing Insurtech startups globally. The company was founded by Chris Bayley and Angus McDonald, former leaders from Google and Yahoo respectively. RentalCover.com is a global distributor of car rental insurance that partners with online travel agents worldwide. To date Cover Genius has raised $1.5 million in seed investment and has offices in Austin, TX, London and Sydney, Australia."
Easyshare,"Founded: 2014
 Easyshare is an online platform for paying rent and bills. Housemates can set up their own individual payment method and easyshare takes care of the rest. The platform will collect rent from each housemate and pay the total to the property manager or landlord. Easyshare also take care of splitting bills, tracking shared expenses and helping with shared savings. Payment options are flexible with the ability to pay via bank transfer or credit card. Founded by John Bush, easyshare has already helped customers to pay over $10 million worth of rent and bills."
Equitise,"Founded: 2014
 Equitise offers an equity crowdfunding platform for private investors to invest in early-stage companies and startups. Founded 2014 by Chris Gilbert, Jonathon Wilkinson and Panche Gjorgjevski, Equitise is a trans-Tasman investment platform. They bring together the Australasian investment network, providing a platform for high growth and innovative companies to partner with investors who believe in them. Equitise is backed by Investec, AWI, H2 Ventures, Tank Stream Ventures, BridgeLane Capital and well-known Angels. They are creating an intuitive and automated investment ecosystem which is highly social and inclusive for all investors."
Leezair,"Founded: 2014
 Leezair creates apps and integrations that allow people to experience their surroundings more often and more conveniently. Born out of frustration, as most great platforms are, the concept came to Founder Enguerrand Vidor, when he was travelling in the Philippines. Frustrated with the difficulty of trying to book scuba diving, Angus realized that the entire activities market wasn’t meeting consumer needs for a mobile app that enabled last minute bookings in real time. Leezair aims to inspire adventure and encourage freedom through personalisation. The team are now a proud participant of the Qantas AVRO accelerator program."
Mad Paws,"Founded: 2014
 Mad Paws was created to fill in the pet boarding market for affordable, and local pet accommodation whilst still maintaining the care, love, and attention pets received at high-end, expensive, pet boarding services. Founder Alexis Soulopoulos founded Mad Paws after graduating from University of Sydney Business School. After just eight months of operation, the startup raised its first venture capital round of $1.1 million to further accelerate its growth. Mad Paws is now Australia’s number one pet services marketplace and is expanding fast."
Marketlend,"Founded: 2014
 Marketlend is a peer to peer lending platform to small and medium enterprises that offers investors secure and robust investment in business with loss protection and insurance. Investors buy a tradeable note that secures part or all of the loan, and it is managed by a trust manager with the trustee handling all cash collections. Founder Leo Tyndall launched Marketlend after an extensive career in financial services industry. In June 2016 the team announced that it has closed a $1 million investment round led by Jon Barlow, who has been appointed as a non-executive member of Marketlend’s board of directors."
Nano-X,"Founded: 2014
 Nano-X is an innovative cancer treatment system being designed and developed in Australia. Nano-X will change the delivery of radiation therapy from large reference centres to small-town hospitals. An advanced on-board imaging/planning system captures 3D images in real-time, controls the radiation beam, and automatically delivers the right amount of energy to the right tissue, requires fewer dedicated staff. Founded by Ilana Feain and Paul Keall, Nano-X simplifies radiation therapy by moving radiation therapy system complexity from hardware to software. To date the team have received a $2.5 million grant to continue their work."
Ordermentum,"Founded: 2014
 Ordermentum is a web-based ordering and payments platform for the food and beverage industry. Founded by seasoned tech and F&B professionals Adam Theobald and Andrew Low, Ordermentum was created to solve the F&B industries problem when it comes to collecting orders and chasing payments. It is a two sided network allowing retailers to order from all suppliers and for suppliers to grow brand engagement, eliminate all data entry and offer insights through data."
Sound Scouts,"Founded: 2014
 Sound Scouts is a game designed to test the hearing of children. They have taken the science of a hearing test, embedded it into a mobile game that allows them to collect data and continually improve their offering. Founder Carolyn Mee, understanding that hearing issues impact learning, hopes that Sound Scouts will eventually be adopted by the government to provide cost-effective hearing screening to all Australian children. It can pick up undiagnosed hearing issues that may affect a child’s social or academic development. In March 2017 Sound Scouts were announced a winner of the SXSW Accelerator Pitch Event in the Health and Wearables category."
BlueShyft,"Founded: 2014
 The Blueshyft platform allows businesses to accept cash payments for their digital goods and services. Founder Kain Warwick wants to revolutionise the utilisation of the largest retail network in Australia and connect the local convenience of bricks and mortar locations with e-commerce products and services. To date, the team has raised $3.77 million from investors and mid-2016 they started a joint venture with Bitcoin exchange Bitcoin.com.au.Blueshyft is an iOS-based platform installed in over 1,200 retailers across Australia."
The Yield,"Founded: 2014
 The Yield is an AgTech solutions company which develops IoT-based solutions for agriculture and aquaculture. They’re on a mission to transform food and farming practices by building safe, scalable digital technology. Founder Ros Harvey is an experienced entrepreneur who is passionate about utilising technology to play a role in the sustainable governance of the planet. Since launch, their first product Sensing+ has won numerous awards. In April this year, the team announced a successful Series A funding round of $6.5 million,this funding takes investment in the company to $11.5 million in two years."
Wattblock,"Founded: 2014
 Wattblock offers quick, customised energy saving roadmaps online for strata buildings which can reduce their energy consumption by up to 65 per cent. The business was co-founded by Brent Clark and Ross McIntyre to assist buildings with energy tariff optimisation, planning energy efficiency projects, product and service selection, financing and planning ahead for solar, batteries, electric vehicle recharge and embedded electrical networks. They won a place in Telstra’s muru-D technology accelerator program in 2014, then in 2015 completed a capital raise of $1 million and opened an office in Brisbane office to expand their Australian footprint."
Yello,"Founded: 2014
 Yello is revolutionising the way takeaway deliveries are managed. Building a better driver search and delivery management system for the foodservice industry. Yello is a marketplace that helps restaurants find, manage, book, train and pay drivers and helps drivers manage & grow their business. Founded by Steve Fanale and Johnny Timbs, Yello is a complete driver engagement platform. In October 2016 the team announced their partnership with Menulog to enable restaurants without drivers to offer food delivery and tap into their food tracking tech."
Audience Republic,"Founded: 2015
 Audience Republic is a marketing platform for events, helping organisers sell more tickets. Founded by Jared Kristensen, Audience Republic power the marketing for events worldwide, including Justin Bieber, Bruce Springsteen, Sticky Fingers, Broods and Rufus, to name a few. Event organisers simply setup campaigns which leverage social media & rewards to incentivize fans to invite their friends to purchase tickets, integrating with existing ticketing providers like Eventbrite or Ticketmaster. In February 2017 the team announced they closed a $525,000 seed investment round to continue to enhance the platform."
